Name,Position,Price
Thibaut Courtois,Goalkeeper,60000000
Gianluigi Donnarumma,Goalkeeper,50000000
Diogo Costa,Goalkeeper,45000000
Ederson,Goalkeeper,45000000
Alisson,Goalkeeper,45000000
Jan Oblak,Goalkeeper,40000000
Marc-André ter Stegen,Goalkeeper,40000000
Aaron Ramsdale,Goalkeeper,38000000
Gregor Kobel,Goalkeeper,35000000
Mike Maignan,Goalkeeper,35000000
Robert Sánchez,Goalkeeper,32000000
Emiliano Martínez,Goalkeeper,28000000
Giorgi Mamardashvili,Goalkeeper,25000000
David Raya,Goalkeeper,25000000
Unai Simón,Goalkeeper,25000000
Álex Remiro,Goalkeeper,25000000
Jordan Pickford,Goalkeeper,25000000
Illan Meslier,Goalkeeper,22000000
Dean Henderson,Goalkeeper,22000000
Alban Lafont,Goalkeeper,20000000
André Onana,Goalkeeper,20000000
Gavin Bazunu,Goalkeeper,18000000
Anatoliy Trubin,Goalkeeper,18000000
Edouard Mendy,Goalkeeper,18000000
José Sá,Goalkeeper,18000000
Alex Meret,Goalkeeper,18000000
Nick Pope,Goalkeeper,18000000
Guglielmo Vicario,Goalkeeper,16000000
Odysseas Vlachodimos,Goalkeeper,16000000
Matvey Safonov,Goalkeeper,15000000
Rui Silva,Goalkeeper,15000000
Kepa Arrizabalaga,Goalkeeper,15000000
David de Gea,Goalkeeper,15000000
Pau López,Goalkeeper,14000000
Juan Musso,Goalkeeper,14000000
Dominik Livakovic,Goalkeeper,14000000
Marco Carnesecchi,Goalkeeper,13000000
Altay Bayindir,Goalkeeper,13000000
Justin Bijlow,Goalkeeper,13000000
Ugurcan Cakir,Goalkeeper,13000000
Wojciech Szczesny,Goalkeeper,13000000
Walter Benítez,Goalkeeper,12000000
Bono,Goalkeeper,12000000
Ivan Provedel,Goalkeeper,12000000
Lucas Chevalier,Goalkeeper,10000000
Conan Ledesma,Goalkeeper,10000000
Gerónimo Rulli,Goalkeeper,10000000
David Soria,Goalkeeper,10000000
Georgiy Bushchan,Goalkeeper,10000000
Alexander Nübel,Goalkeeper,10000000
Brice Samba,Goalkeeper,10000000
Predrag Rajković,Goalkeeper,10000000
Bernd Leno,Goalkeeper,10000000
Maarten Vandevoordt,Goalkeeper,9000000
Anthony Lopes,Goalkeeper,9000000
Kevin Trapp,Goalkeeper,8000000
Gabriel Slonina,Goalkeeper,8000000
Vladan Kovacevic,Goalkeeper,8000000
Luís Maximiano,Goalkeeper,8000000
Caoimhín Kelleher,Goalkeeper,8000000
Sergio Herrera,Goalkeeper,8000000
Danny Ward,Goalkeeper,8000000
Matz Sels,Goalkeeper,8000000
Alphonse Areola,Goalkeeper,8000000
Koen Casteels,Goalkeeper,8000000
Bento,Goalkeeper,7000000
Agustín Rossi,Goalkeeper,7000000
Michele Di Gregorio,Goalkeeper,7000000
João Paulo,Goalkeeper,7000000
Jonas Omlin,Goalkeeper,7000000
Mark Flekken,Goalkeeper,7000000
Manuel Neuer,Goalkeeper,7000000
Ersin Destanoglu,Goalkeeper,6000000
Arijanet Muric,Goalkeeper,6000000
Jean Butez,Goalkeeper,6000000
Emil Audero,Goalkeeper,6000000
Freddie Woodman,Goalkeeper,6000000
Matheus,Goalkeeper,6000000
Stefan Ortega,Goalkeeper,6000000
Péter Gulácsi,Goalkeeper,6000000
Julen Agirrezabala,Goalkeeper,5000000
Bart Verbruggen,Goalkeeper,5000000
Yehvann Diouf,Goalkeeper,5000000
Matt Turner,Goalkeeper,5000000
Andriy Lunin,Goalkeeper,5000000
Carlos Acevedo,Goalkeeper,5000000
Kamil Grabara,Goalkeeper,5000000
Andries Noppert,Goalkeeper,5000000
Pierluigi Gollini,Goalkeeper,5000000
Wladimiro Falcone,Goalkeeper,5000000
Robin Zentner,Goalkeeper,5000000
Marvin Schwäbe,Goalkeeper,5000000
Ivica Ivusic,Goalkeeper,5000000
Marco Silvestri,Goalkeeper,5000000
Keylor Navas,Goalkeeper,5000000
Simon Mignolet,Goalkeeper,5000000
Rui Patrício,Goalkeeper,5000000
Yann Sommer,Goalkeeper,5000000
Oliver Christensen,Goalkeeper,4000000
Cleiton,Goalkeeper,4000000
Jindrich Stanek,Goalkeeper,4000000
Zack Steffen,Goalkeeper,4000000
Bartlomiej Dragowski,Goalkeeper,4000000
David Ospina,Goalkeeper,4000000
Oliver Baumann,Goalkeeper,4000000
Luiz Júnior,Goalkeeper,4000000
Kacper Tobiasz,Goalkeeper,4000000
Dogan Alemdar,Goalkeeper,4000000
Wuilker Fariñez,Goalkeeper,4000000
Lucas Chaves,Goalkeeper,4000000
Ezequiel Unsain,Goalkeeper,4000000
Iñaki Peña,Goalkeeper,4000000
Philipp Köhn,Goalkeeper,4000000
Lorenzo Montipò,Goalkeeper,4000000
Thomas Strakosha,Goalkeeper,4000000
Sergio Rico,Goalkeeper,4000000
Rubén Blanco,Goalkeeper,4000000
Bruno Varela,Goalkeeper,4000000
Stole Dimitrievski,Goalkeeper,4000000
Mathew Ryan,Goalkeeper,4000000
Benjamin Lecomte,Goalkeeper,4000000
Marco Bizot,Goalkeeper,4000000
Mattia Perin,Goalkeeper,4000000
Sam Johnstone,Goalkeeper,4000000
Édgar Badía,Goalkeeper,4000000
Marko Dmitrović,Goalkeeper,4000000
Hugo Lloris,Goalkeeper,4000000
Alessio Cragno,Goalkeeper,4000000
Lautaro Morales,Goalkeeper,3000000
Brenno,Goalkeeper,3000000
Stefano Turati,Goalkeeper,3000000
Djordje Petrovic,Goalkeeper,3000000
Luis Malagón,Goalkeeper,3000000
Arnaud Bodart,Goalkeeper,3000000
Ionut Radu,Goalkeeper,3000000
Sergio Rochet,Goalkeeper,3000000
Vanja Milinković-Savić,Goalkeeper,3000000
Ivo Grbic,Goalkeeper,3000000
Marek Rodak,Goalkeeper,3000000
Yvon Mvogo,Goalkeeper,3000000
Frederik Rönnow,Goalkeeper,3000000
Etienne Green,Goalkeeper,3000000
Álvaro Fernández,Goalkeeper,3000000
Elia Caprile,Goalkeeper,3000000
Gautier Larsonneur,Goalkeeper,3000000
Joël Drommel,Goalkeeper,3000000
Paul Bernardoni,Goalkeeper,3000000
Léo Jardim,Goalkeeper,3000000
Jiri Pavlenka,Goalkeeper,3000000
Lawrence Ati Zigi,Goalkeeper,3000000
Vasilios Barkas,Goalkeeper,3000000
Angus Gunn,Goalkeeper,3000000
Maxime Crépeau,Goalkeeper,3000000
Fernando Pacheco,Goalkeeper,3000000
Alfred Gomis,Goalkeeper,3000000
Jasper Cillessen,Goalkeeper,3000000
Franco Armani,Goalkeeper,3000000
Aitor Fernández,Goalkeeper,3000000
Esteban Andrada,Goalkeeper,3000000
Lukasz Skorupski,Goalkeeper,3000000
Weverton,Goalkeeper,3000000
Agustín Marchesín,Goalkeeper,3000000
Mailson,Goalkeeper,2000000
Anthony Patterson,Goalkeeper,2000000
Aleksandr Selikhov,Goalkeeper,2000000
Brayan Cortés,Goalkeeper,2000000
Dénes Dibusz,Goalkeeper,2000000
Gabriel Arias,Goalkeeper,2000000
Gabriel Grando,Goalkeeper,2000000
Daniil Khudyakov,Goalkeeper,2000000
Matheus Donelli,Goalkeeper,2000000
Dmytro Riznyk,Goalkeeper,2000000
James Trafford,Goalkeeper,2000000
Kevin Mier,Goalkeeper,2000000
Daniel Peretz,Goalkeeper,2000000
Yahia Fofana,Goalkeeper,2000000
Radoslaw Majecki,Goalkeeper,2000000
Maduka Okoye,Goalkeeper,2000000
Andre Blake,Goalkeeper,2000000
David von Ballmoos,Goalkeeper,2000000
Paulo Gazzaniga,Goalkeeper,2000000
Paul Nardi,Goalkeeper,2000000
Santos,Goalkeeper,2000000
Hendrik Van Crombrugge,Goalkeeper,2000000
Mohamed El Shenawy,Goalkeeper,2000000
Daniel Bachmann,Goalkeeper,2000000
Neto,Goalkeeper,2000000
Everson,Goalkeeper,2000000
Thomas Kaminski,Goalkeeper,2000000
Martin Dúbravka,Goalkeeper,2000000
Tomas Vaclik,Goalkeeper,2000000
Lars Unnerstall,Goalkeeper,2000000
Lukas Hradecky,Goalkeeper,2000000
Kasper Schmeichel,Goalkeeper,2000000
Álvaro Montero,Goalkeeper,2000000
Facundo Altamirano,Goalkeeper,2000000
Tiago Volpi,Goalkeeper,2000000
Günay Güvenc,Goalkeeper,2000000
James Beadle,Goalkeeper,2000000
André Gomes,Goalkeeper,2000000
Lukas Hornicek,Goalkeeper,2000000
Andrew,Goalkeeper,2000000
Nediljko Labrovic,Goalkeeper,2000000
