names,clubs,ages,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Blocks,OwnG,Rating,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,AvgP,PS%,Crosses,LongB,ThrB,AerialsWon,MotM
Lionel Messi,PSG,35,44,3519,0.8,0.1,0.4,0,0,0,0,8.30,27,21,4.1,2.9,2.9,1.8,0.2,2.6,1.7,57.2,83.9,0.9,2.2,0.9,0.2,18
Martin Terrier,Rennes,26,22,1721,1.7,0.8,0.7,0,0.4,0.1,0,7.61,12,5,2.5,1.5,0.5,1.3,0.5,0.9,1.6,33.7,74.8,0.2,1.3,0.2,3.7,7
Neymar,PSG,31,35,2375,0.9,0.2,1.3,0,0.1,0,0,7.62,20,14,2.3,2.4,2,3.4,0.3,2.3,2.4,58.4,83.2,0.9,2,0.4,0,4
Kylian Mbappé,PSG,24,49,3875,0.2,0.1,0.5,0,0.1,0,0,7.71,43,9,4,1.5,2.5,1.2,0.9,1.1,2,34.3,82.8,0.5,0.6,0.1,0.2,11
Khvicha Kvaratskhelia,Napoli,22,39,3007,1.3,0.2,0.5,0,0.3,0,0,7.68,19,16,3.3,1.8,2.3,1.2,0.2,1.5,2.5,26.8,81,0.6,1.1,0.2,0.4,12
Kevin De Bruyne,Man City,31,48,3532,0.8,0.3,0.6,0,0.5,0.1,0,7.52,9,20,2.1,3.1,1,0.9,0.1,1,1.3,42.2,79.5,2.1,2.7,0.5,0.4,10
Victor Osimhen,Napoli,24,33,2249,0.4,0.1,1.2,0,0.9,0,0,7.57,30,4,4,0.9,0.9,1.3,1.3,1.4,3,10.9,70.2,0,0.3,0,2,5
Erling Haaland,Man City,22,45,3382,0.1,0.1,1,0,0.4,0.1,0,7.52,51,7,3.4,0.7,0.3,0.5,0.2,0.7,1.4,12.6,75.2,0.1,0,0,1.2,9
Kieran Trippier,Newcastle,32,43,3508,1.9,1.2,1.2,0.2,1.8,0.3,0,7.40,1,8,0.4,2.7,0.4,0.7,0.2,0.2,0.7,51,76,3.2,3.2,0.2,1.2,9
Robert Lewandowski,Barcelona,34,47,3543,0.6,0.1,1.3,0,0.8,0,0,7.36,30,8,3.5,1.1,1,1.6,0.6,1.9,2.8,22,76.5,0.2,0.6,0.2,2,10
Gabriel Jesus,Arsenal,26,29,1768,1,0.4,1.2,0,0.3,0.1,0,7.22,8,6,2.6,1.3,1.8,2,0.5,2,2.9,20.5,81.4,0.1,0.4,0.1,1.2,3
Karim Benzema,Real Madrid,35,35,2286,0.4,0,0.4,0,0.3,0,0,7.41,26,4,4.3,1.9,0.8,0.3,0.8,0.9,1.2,38.9,86.2,0,0.6,0.2,0.5,5
Jude Bellingham,Borussia Dortmund,19,48,3886,2.6,1.3,1.1,0,0.8,0.2,0,7.41,11,6,1.7,1,2.2,2.3,0,1.7,2.1,48.8,84.2,0.1,3.2,0.2,1.1,8
Harry Kane,Tottenham,29,54,4517,0.3,0.1,0.8,0,0.7,0.2,0,7.25,31,7,3.2,1.3,1.1,1.4,0.3,1.5,2,21.7,70.7,0.2,1.8,0.2,1.7,7
Antoine Griezmann,Atletico,32,53,3413,1.3,0.6,0.6,0,0.6,0.2,0,7.33,11,13,2.3,2,1.2,1,0.3,1.1,1,36.5,83.2,1.2,1.8,0.2,0.8,9
Niclas Füllkrug,Werder Bremen,30,30,2365,0.3,0,1.1,0,0.8,0.1,0,7.39,18,6,3,1.1,1,1.6,0.9,1.7,2.5,30.2,63.6,0.1,1.4,0,5.2,5
Bukayo Saka,Arsenal,21,52,3719,1.3,0.4,0.9,0,0.4,0,0,7.26,17,12,1.9,1.7,1.5,1.4,0.3,1.2,2,28.2,81.4,0.9,0.7,0,0.3,7
Dango Ouattara,Lorient,21,29,2390,2,1,0.7,0,1.2,0.3,0,7.19,6,8,2.4,1.2,1.6,1.8,0.3,1,2.4,20.6,64.3,0.3,0.5,0.1,2.1,5
Joshua Kimmich,Bayern,28,47,3749,2.5,1.5,0.8,0,0.9,0.2,0,7.45,7,8,1.4,2.2,0.3,1.6,0,0.8,0.8,76.3,90.3,1.7,5.4,0.3,0.5,7
Vinícius Júnior,Real Madrid,22,50,3373,0.9,0.2,1.2,0,0,0.1,0,7.50,22,12,2.8,1.9,3.1,3.3,0.6,2,2.5,31.5,82,0.2,0.8,0.1,0,7
Dominik Szoboszlai,RBL,22,44,3226,1.2,0.6,0.8,0,0.8,0.1,0,7.22,7,11,1.8,2.1,1.5,1.2,0.1,1.1,1.7,42.8,83.2,1.4,2.5,0.2,0.3,5
Alexandre Lacazette,Lyon,31,29,2218,1.3,0.5,1.8,0,0.1,0,0,7.39,22,4,3,1.3,1.1,1.5,0.3,1.5,1.7,24.4,74.7,0.1,0.8,0.1,0.9,3
Jamal Musiala,Bayern,20,47,2781,0.9,0.6,0.7,0,0.1,0.1,0,7.22,15,12,1.8,1.6,2.6,1.2,0,2.4,2.4,27.9,84.4,0,0.4,0,0.3,5
Solly March,Brighton,28,33,2599,1.5,0.7,1.4,0.1,0.8,0.1,0,7.30,8,6,2.3,1.9,1.6,1.2,0.4,1.1,1.8,34.9,78.3,1.2,2.2,0.1,0.9,6
